date,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
20200320,0,0.8591,0.128,0.4961,0.159036508,0.632033333,0.13844,0,0,0.236633333,0.128652,0,0,0,0.22034,0.269864,0.3592,0.4743875,0.250971429,0.1815,0.174436,0.14835,0.67475,0.3592,0.24578,0.32135,0,0.05331875,0,0,0,0.375305882,0.226175,0.386233333,0.333184,0.304684615,0.2034,0,0.328123077,0,-0.0459,0,0.376884615,0.156886,0.579266667,-0.2939,0.4674,0.166975,0.19855,0,0
20200321,0,0.550666667,0.2202,0.34802,0.322139535,0.4679,0,0,0,0.287657895,0.275525,0,0.8553,0,0.194075,0.29199375,0,-0.039275,0.388425,0.081225,0.250546154,0,0.7269,0.4355,0.085,0.636133333,-0.8225,0.494333333,0,0,0,0.11499,0.8402,0.2323,0.017117647,0.528790909,0.4574,0.4387,0.307425,-0.172633333,0,0,0.03752,0.158173333,-0.296,0.54665,0.488911111,0.27242,0.36345,0,0
20200322,0,0.471225,0,0.6125875,0.253292473,0.291575,0.7845,0,0.5409,0.522935,0.463238889,0,0,0,0.423533333,0.149189474,0.0772,0.2038,0.100583333,0.3488,0.57711,0,0.8309,0.7717,-0.28385,-0.00325,0,0.1696,0,0.28595,0.9536,0.134758333,0.2233,0.490683333,0.138690909,0.09388,0.5769,0.3099,0.60574,-0.2462,0.377157143,0,0.3578,0.279155882,0,-0.1996,0.24695,0.544909091,-0.25465,0,0
20200323,0,0,0.631,0.560175,0.274739326,0.386766667,0.7269,0,0,0.14311875,0.129637736,0,0.8807,0,0.1642,0.352372727,0,0.471042857,0.594091667,0.26332,0.156770588,0.25,0,0.3348,0,0.51275,0,0.367766667,0,0,0,0.5095,0,0.187566667,0.09644,0,0.7062,0.52066,0.7676,0.8148,0,0,-0.2787,0.236723529,-0.6087,0.38532,0,0.258222222,0,0,0
20200324,0,0,-0.05615,0.27142,0.286396491,0.34,0.9287,0,0,0.281813333,0.251791304,0,0.03545,0,-0.04134,0.219128571,0,0.009275,0.54678,0.78534,0.213625,-0.2244,0.385533333,0.22545,0.7703,-0.4364,0,0.595575,0,0.12645,0,0.4258,0.3417,0.6661,0.283473913,0.072388889,0,0.4549,0.58915,0.8261,0.4479,0,0.223766667,0.300682143,0.182,-0.85725,-0.429,0.100666667,0,0,0
20200325,0,0,0.6632,0,0.151723288,0.6369,0.1635,0,0,-0.051785714,0.197659375,0,0,0.4295,0.085583333,0.15485,0.2263,-0.13285,0,0.358166667,0.363481818,0,0.8118,0,0.457,-0.4215,0,0.101642857,0,0,0,0.289469231,0,0.377066667,0.116978261,-0.021722222,0,-0.08895,0.0326,0.5013,0.068066667,0,0.1718,0.31122,0,0.2412,0.611033333,0.058125,0,0.0193,0
20200326,0,-0.4341,0,-0.2846,0.286077966,0.308,0.33985,0,-0.2263,0.2266,0.25732,0,-0.1079,0,0.65615,0.190741667,0.33395,0.243233333,0.431416667,0.268,0.17431,0,0.8663,0.3182,-0.05564,0.22295,0,0.6704,0,0.7269,0,0.3336125,0.6808,-0.306725,0.121876923,0.3329125,0.5941,-0.05825,-0.067633333,0.79655,0.2087,0,-0.106066667,0.317064,0.8481,0.036028571,0.047366667,0.54362,0.8271,0,0
20200327,0,0.2263,0,0.41085,0.126933784,0.23575,0.440966667,0,0,0.287252941,0.166186667,0,0.29295,0,0.250566667,0.473975,0.5574,0.269185714,-0.03455,0.1501,0.307216667,0,0.64358,0,-0.24535,0,0,0.468857143,0,0.5007,0,0.66374,-0.296,-0.33975,0.404795238,0.2307875,0.6279,0,0.74835,0.7734,0.71185,0,0.29445,0.280703846,0.743,0,0.3908,0.37426,0,0,0
20200328,0,0,-0.0772,0.55085,0.304567647,0.362233333,0,0,0,0.399,0.109364706,0,0.6379,0,0.2844,0.104028571,0.441133333,0.128375,-0.029225,0,0.396883333,0,0.3585,0,0,0.20095,0,0.045627273,0,0,0,0.155677778,0.9008,0.265666667,0.047378571,0.027133333,-0.6597,0.338283333,0.39518,0,0,0,0.470785714,0.261116667,0,0.87015,0.3753,0.25322,0.2553,0,0
20200330,0,0,0,0.1289,0.211116071,0.371966667,0,0,0,0.347369231,0.246344444,0,0.4215,-0.5423,-0.01425,0.27855,0,-0.21075,0.047425,0.32642,0.071918182,0,0.5684,0,0,-0.7568,0,0.295075,0,0,0,0.1931,-0.0922,0.594916667,0.697733333,0,0.4939,0,0.6369,0,0.3111,0,0.265333333,0.20119,0,-0.3164,0,0.18134,-0.2244,0,0
20200331,0,0.2202,0.2202,0.557225,0.182626389,0.095633333,0,0,0.128,0.26618125,0.2041,0,0.4753,0.10115,0.520425,0.200633333,0,0.23835,0.386266667,0.338566667,0.289014286,0,0.802,0.4404,0.2812,0.4512,0,0.1608,0,0.9858,0,0.400925,0,0.80365,0.303690909,0.65625,0,0,0,0,-0.3182,0,0.2358,0.104976471,0.6696,0.0227,0,0.114075,0.5473,0,0
20200401,0,-0.1697,0,0.21665,0.327691667,-0.3612,0.3243,0,0,0.359375,0.457409091,0,0.6705,0.8126,0.4559,-0.31705,0.45375,0,0.14724,0.15275,-0.020666667,0,0.3612,-0.2781,-0.7717,-0.1673,0,0.1468,0,0,0,0.3243375,0.298933333,0,0.484122222,0.206175,0,0,0.6602,0.8582,0.626,0,0.00158,0.330377778,-0.5106,0.96615,0.44035,0.000828571,0.0903,0,0.7269
20200402,0,0,0.4215,0.414683333,0.266766667,0.29352,0.855,0,0,0.422055556,0.423283333,0,-0.7351,0,0.4441,0.206836364,0,0,0.24676,-0.059575,0.237808333,0,0.17015,0.345,0,0.6369,0,0.075366667,0,0,0,0.325516667,0.7463,0,0.36018,0.3871,-0.4767,0.3612,0.0386,0,0.14762,0,0,-0.036611111,0.1714,0.63985,0.33008,0.276266667,-0.4429,-0.5767,0
20200403,0,0,0.80705,0.446233333,0.2041725,0.314366667,0.3556,0,0,0.342,0.2579,0,0.6808,0,0.4404,0.5098,0,0,0.204133333,0.2219,0.283772727,0,0,-0.030466667,0,0.7728,0,-0.1314,0,0.2093,0,0.202088889,0,0.231866667,0.4046625,0.3936,0,0.5921,0.5927,0,0.2732,0,0.504275,0.12888,0,0,0.387233333,0.4939,0.6249,0.5538,0
20200404,0,0.1543,0,0.237125,0.345733962,0.15835,0,0,0,0.125863636,0.324313333,0,0.6239,0,0.8516,0.556685714,0,0.290133333,0,0.4199,0.128642857,0,0,0,0.7644,0,0,0.18072,0,0,0,0.134866667,0.2225,0.5319,0.395193333,0.190633333,-0.819,0.22624,-0.0386,0,0.043566667,0,0.267175,0.1926,0.1027,0,0.32615,0.953933333,0.4926,0,0.8105
20200405,0,0,0.8832,0.21116,0.278304348,0.046866667,0.4019,0,0,0.260830769,0.470071429,0,-0.0292,0,0.8385,0.146642857,0,0.34,0.3771,0.6486,0.2058,0,0.18745,0.38135,0,0,0,0.098385714,0,0,0,0.1718,0,0,-0.0345875,0.209271429,-0.8225,0,0.242466667,0.765,-0.1027,0,-0.1926,0.552777778,0,0.9215,0,0.9133,0,0,0
20200406,0,0.492966667,-0.08985,0.4286,0.309958974,-0.025475,0.6369,0,0,0.152572727,0.606242857,0,0,0.3612,0.33765,0.626185714,0,0,0.3943,0.5792,0.16298,0,0,0,0,0.5147,0,0,0,0,0,0.531083333,0,0.0897,0.38623,0.05755,-0.818725,0.1826,0.4939,0,0.9202,0,0.2914,0.108581818,-0.335,0.642166667,0,0.197533333,-0.6486,0,0
20200407,0,0.7783,0,-0.2553,0.249727273,0.362966667,0,0,0,0.436466667,0.277654545,0,0,0.7545,0.36206,0.468655556,0,0.0979,0.122566667,-0.259433333,0.423716667,0,0,0,0.4767,0.4803,0,-0.002366667,0,0,0,0.365,-0.3054,0.42375,0.13072,0.1806,-0.1321,0.3612,0.23835,0.45535,0.5791,0,0,0.416272727,0.487,0,0.32035,0,0,0,0
